name,lat,lon,spi
Tien Phuoc,15.48833333,108.3077778,-1.06854257175
Hoi An,15.876666666667,108.33527777778,-0.554435347652
Giao Thuy,15.84166667,108.1344444,-1.69875038776
Ai Nghia,15.88138889,108.1102778,-1.84974385348
Cau Lau,15.85805556,108.2733333,-1.55886439267
Kham Duc,15.445,107.7936111,-0.966176044868
Tra My,15.3372,108.222,-1.16939989623
Nong Son,15.7025,108.0341667,-0.994707374757
Da Nang,16.03,108.18,-1.0305016333
Cam Le,16.01083333,108.2058333,-1.27271718731
Thanh My,15.766666666667,107.83055555556,0.0950179557663
